
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
755,West. Ontario,5,0,0,0,96,0,Vaughn Martin,12,Tyrone Williams,0,Vaughn Martin,51
756,West. State (CO),3,0,0,0,166,2,Sam Seale,28,Sam Seale,2,Sam Seale,121
757,West. Washington,5,2,0,0,320,2,Michael Koenen,11,Erik Norgard,2,Michael Koenen,160
758,Western Oregon,2,0,0,0,75,22,Kevin Boss,16,Kevin Boss,22,Kevin Boss,75
759,Westminster (MO),2,0,0,0,47,2,Jim Eliopulos,3,Bill Boyd,2,Jim Eliopulos,31
760,Westminster (PA),3,0,0,0,20,0,Lowell Lander,0,Lowell Lander,0,Wade McRoberts,12
761,Westminster (UT),1,0,0,0,12,0,Walt Love,0,Walt Love,0,Walt Love,12
762,Wheaton,3,1,0,0,100,1,Andy Studebaker,11,Andy Studebaker,1,Andy Studebaker,94
763,Whittier,5,0,0,1,110,0,Chuck McMurtry,30,Chuck McMurtry,0,Chuck McMurtry,53
764,Whitworth,2,0,0,0,30,0,Paul Ward,7,Doug Long,0,Doug Long,16
765,Wichita St.,38,0,0,5,1328,27,Miller Farr,67,Bob Long,10,Jumpy Geathers,183
766,Widener,7,0,0,5,456,40,Joe Fields,79,Billy Johnson,35,Joe Fields,186
767,Wiley,5,0,0,0,184,0,Mike Lewis,44,Lee Thomas,0,Mike Lewis,130
768,Willamette,4,0,0,1,159,0,Hal Stringert,18,Dick Weisgerber,0,Hal Stringert,69
769,William &amp; Mary,50,6,1,15,2262,47,Darren Sharper,87,Darren Sharper,13,Steve Christie,229
770,William Jewell,3,0,0,0,33,0,Scoop Gillespie,0,Scoop Gillespie,0,Scoop Gillespie,14
771,William Paterson,1,0,0,0,3,0,Derrick Foster,0,Derrick Foster,0,Derrick Foster,3
772,William Penn,3,1,0,0,192,2,Wilbur Young,41,Wilbur Young,2,Wilbur Young,153
773,Williams,6,0,0,0,204,15,Scott Perry,14,Benny Boynton,9,Ethan Brooks,76
774,Wilmington,4,0,0,0,59,3,Elliott Bonowitz,0,Chuck Weimer,3,Chuck Weimer,27
775,Wingate,2,0,0,0,65,0,David Jones,6,David Jones,0,David Jones,59
776,Winona St.,1,0,0,0,4,0,Jim Althoff,2,Jim Althoff,0,Jim Althoff,4
777,Winston-Salem St.,14,1,0,2,782,100,Yancey Thigpen,46,Timmy Newsome,30,Timmy Newsome,121
778,Wisc-Eau Claire,3,0,0,0,21,0,Roman Brumm,0,Roman Brumm,0,Roman Brumm,18
779,Wisc-LaCrosse,12,0,0,2,641,34,Tom Newberry,72,Bill Schroeder,28,Tom Newberry,147
780,Wisc-Milwaukee,6,1,0,1,175,4,Mike Reinfeldt,43,Clem Neacy,3,Mike Reinfeldt,104
781,Wisc-Oshkosh,5,0,0,0,42,0,Pahl Davis,0,Len Smith,0,Len Smith,20
782,Wisc-Platteville,5,0,0,0,55,4,David Viaene,4,Don Perkins,4,Don Perkins,27
783,Wisc-River Falls,1,0,1,0,137,49,Johnny Blood,0,Johnny Blood,49,Johnny Blood,137
784,Wisc-Stevens Point,3,0,0,0,225,35,Clint Kriewaldt,11,Ted Fritsch,35,Clint Kriewaldt,123
785,Wisc-Stout,3,0,0,0,60,0,Tony Beckham,5,Tony Beckham,0,Tony Beckham,56
786,Wisc-Superior,6,0,0,0,222,6,Doug Sutherland,51,Dom Moselle,6,Doug Sutherland,164
787,Wisc-Whitewater,7,0,0,3,373,1,Joe Panos,28,Derek Stanley,1,Matt Turk,244
788,Wisconsin,301,36,4,58,13565,769,Mike Webster,116,Elroy Hirsch,66,Mike Webster,245
789,Wittenberg,9,0,0,0,56,0,Scott Watters,2,Mack Hummon,0,George Rohleder,15
790,Wofford,2,1,0,0,37,5,Jerry Richardson,1,Jerry Richardson,4,Jerry Richardson,22
791,Wooster,6,0,0,0,146,2,Blake Moore,11,Blake Moore,2,Blake Moore,77
792,Worcester St.,1,0,0,0,5,0,Bob Haas,0,Bob Haas,0,Bob Haas,5
793,Wyoming,74,8,0,11,3349,225,Jim Kiick,61,Dave Hampton,34,Tony McGee,202
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
794,Xavier (OH),23,0,0,3,754,94,Danny Abramowicz,50,Chet Mutryn,42,Danny Abramowicz,111
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
795,Yale,29,0,0,8,1530,105,Gary Fencik,81,Calvin Hill,65,Gary Fencik,164
796,Yankton,4,0,0,2,233,2,Lyle Alzado,81,Lyle Alzado,1,Lyle Alzado,196
797,Youngstown St.,24,2,0,2,1049,39,Ron Jaworski,84,Ron Jaworski,16,Jeff Wilkins,200
