
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
140,Clarkson,1,0,0,0,1,0,Bill Bucher,0,Bill Bucher,0,Bill Bucher,1
141,Clemson,205,32,0,52,10292,652,Brian Dawkins,100,Terry Allen,79,Chris Gardocki,244
142,Clinch Valley,1,0,0,0,2,0,Shonn Bell,0,Shonn Bell,0,Shonn Bell,2
143,Coast Guard,1,0,0,1,70,0,Curt Knight,11,Curt Knight,0,Curt Knight,70
144,Coastal Carolina,9,6,0,0,294,56,Mike Tolbert,27,Mike Tolbert,40,Mike Tolbert,99
145,Coe College,2,1,0,0,107,37,Fred Jackson,46,Fred Jackson,37,Fred Jackson,106
146,Col. of Emporia,2,0,0,0,5,0,Lem Harkey,0,Lem Harkey,0,Lem Harkey,4
147,Col. of Idaho,1,0,0,0,90,23,R.C. Owens,21,R.C. Owens,23,R.C. Owens,90
148,Col. of the Sequoias,2,0,0,0,59,0,Henry Allison,18,Henry Allison,0,Henry Allison,55
149,Colgate,71,0,1,14,2132,185,Eugene Robinson,86,Mark van Eeghen,42,Eugene Robinson,250
150,Colorado,222,13,0,36,13239,734,Cliff Branch,87,Cliff Branch,67,Stan Brock,234
151,Colorado Col.,2,0,1,0,93,42,Ed Smith,4,Dutch Clark,42,Dutch Clark,75
152,Colorado Mines,2,0,0,0,11,3,Jack Colahan,0,Lloyd Madden,3,Lloyd Madden,9
153,Colorado St.,113,8,1,33,5720,145,Joey Porter,89,Lawrence McCutcheon,39,Tom Rouen,188
154,Columbia,41,2,1,7,1111,66,George Starke,59,Bill Swiacki,18,George Starke,156
155,Compton CC (CA),9,0,1,5,438,102,John LoVetere,31,Joe Perry,84,Joe Perry,181
156,Concordia (QB),2,1,0,0,83,0,Mark Montreuil,3,Mark Montreuil,0,Cory Greenwood,48
157,Concordia (WI),1,0,0,0,3,0,John Scardina,2,John Scardina,0,John Scardina,3
158,Concordia-Moorhead (MN),7,0,0,3,452,2,Gary Larsen,72,Dave Klug,1,Gary Larsen,149
159,Concordia-St.Paul (MN),1,1,0,0,8,0,Zach Moore,1,Zach Moore,0,Zach Moore,8
160,Connecticut,48,20,0,0,1513,75,Will Beatty,30,Donald Brown,19,Brian Kozlowski,182
161,Contra Costa JC,1,0,0,0,2,0,L.C. Joyner,0,L.C. Joyner,0,L.C. Joyner,2
162,Cornell,39,3,0,4,1271,49,Seth Payne,47,Bo Roberson,19,Pete Gogolak,149
163,Cornell Col.,1,0,0,0,26,0,Lee Wilson,0,Lee Wilson,0,Lee Wilson,26
164,Corpus Christi,1,0,0,0,2,0,Jesse Stokes,2,Jesse Stokes,0,Jesse Stokes,2
165,Cortland St.,1,0,0,0,41,0,R-Kal Truluck,3,R-Kal Truluck,0,R-Kal Truluck,41
166,Creighton,10,0,0,0,142,8,Paul Fitzgibbon,0,Paul Fitzgibbon,4,Paul Fitzgibbon,55
167,Culver-Stockton,2,0,0,0,37,0,Bob Hendren,0,Bob Hendren,0,Bob Hendren,36
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
168,Dakota Wesleyan,1,0,0,0,21,1,Paul Sheeks,0,Paul Sheeks,1,Paul Sheeks,21
169,Dana,1,0,0,0,2,0,Lawrence White,0,Lawrence White,0,Lawrence White,2
170,Dartmouth,40,0,1,3,1416,51,Reggie Williams,72,Jay Fiedler,11,Nick Lowery,260
171,Davidson,6,0,0,0,266,0,Kevin Donnalley,52,Mike Kelly,0,Kevin Donnalley,193
172,Davis &amp; Elkins,8,0,0,1,216,9,Dick Powell,0,Red Corzine,5,Buster Mitchell,71
173,Dayton,39,0,1,9,1093,31,Bob DeMarco,72,Fred Dugan,13,Bob DeMarco,185
174,Deakin (Australia),1,0,0,0,99,0,Ben Graham,13,Ben Graham,0,Ben Graham,99
175,Defiance,2,0,0,1,250,3,Ben Davis,47,Ben Davis,2,Bill Pellington,141
176,Delaware,25,7,0,4,1100,40,Rich Gannon,99,Rich Gannon,21,Mike Adams,162
177,Delaware St.,17,0,0,2,604,78,John Taylor,59,John Taylor,46,Clarence Weathers,125
178,Delaware Valley,2,0,0,0,87,0,Bill Cottrell,16,Bill Cottrell,0,Bill Cottrell,63
179,Delta St.,9,0,0,2,398,10,Jack Gregory,59,Aubrey Matthews,9,Jack Gregory,182
180,Denison,11,0,0,0,155,6,Dave Reese,0,Fritz Slackford,2,Dave Reese,34
181,Denver,12,0,0,1,200,1,Sam Etcheverry,8,Fred Dreher,1,John Woudenberg,83
182,DePaul,15,0,0,1,302,22,Bill Daley,0,Bill Boedeker,14,Dick Stahlman,69
183,DePauw,10,0,0,0,184,22,Dave Finzer,2,Al Bloodgood,10,Al Bloodgood,35
184,Detroit Mercy,62,0,0,9,2022,87,Grady Alderman,78,Andy Farkas,37,Grady Alderman,204
185,Detroit Tech,1,0,0,0,7,0,Michael Kostiuk,0,Michael Kostiuk,0,Michael Kostiuk,7
186,Dickinson,3,0,0,0,103,3,Bull Behman,0,Bull Behman,2,Bull Behman,90
187,Doane,2,0,0,0,74,0,Kevin Hunt,21,Kevin Hunt,0,Kevin Hunt,70
188,Drake,27,1,0,6,1313,53,Karl Kassulke,63,Pug Manders,39,Dan Turk,218
189,Drexel,1,0,0,0,9,2,Jim Ostendarp,0,Jim Ostendarp,2,Jim Ostendarp,9
190,Dubuque,5,0,0,0,96,19,John Armstrong,0,Waddy Kuehl,9,Waddy Kuehl,39
191,Duke,109,9,3,20,4867,244,Sonny Jurgensen,107,George McAfee,39,Patrick Mannelly,245
192,DuPage (IL),1,0,0,0,117,0,Paul Spicer,35,Paul Spicer,0,Paul Spicer,117
193,Duquesne,50,0,0,3,1518,51,Bruce Gossett,35,Val Jansante,14,Bruce Gossett,154
,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers,Top Performers
Rk,College/Univ,# of Pros,# Active,# of HOF,PB,G,TDs,Highest Career AV,AV,Most Touchdowns,TDs,Most Games Played,Games
194,Earlham,1,0,0,0,5,0,John Beasley,0,John Beasley,0,John Beasley,5
195,East Carolina,75,9,0,11,3416,260,Earnest Byner,82,Earnest Byner,72,Earnest Byner,211
196,East Central (OK),6,1,0,5,347,2,Mark Gastineau,79,Mark Gastineau,2,Mark Gastineau,137
197,East Stroudsburg,5,0,0,0,160,0,Mike Reichenbach,33,Mike Reichenbach,0,Mike Reichenbach,119
